"","NAME","AREA","PERIMETER","acres","Deed_Acres","Type","ShapeSourc","coords.x1","coords.x2"
"12","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0730348559758,30.4390607560908
"13","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0713675217869,30.4390607560908
"14","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0697001875979,30.4390607560908
"15","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0680328534089,30.4390607560908
"16","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0663655192199,30.4390607560908
"17","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0646981850309,30.4390607560908
"18","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.063030850842,30.4390607560908
"19","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.061363516653,30.4390607560908
"20","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0813715269207,30.4406938996929
"21","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0797041927318,30.4406938996929
"22","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0780368585428,30.4406938996929
"23","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0763695243538,30.4406938996929
"24","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0747021901648,30.4406938996929
"25","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0730348559758,30.4406938996929
"26","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0713675217869,30.4406938996929
"27","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0697001875979,30.4406938996929
"28","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0680328534089,30.4406938996929
"29","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0663655192199,30.4406938996929
"30","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0646981850309,30.4406938996929
"31","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.063030850842,30.4406938996929
"32","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.061363516653,30.4406938996929
"33","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0646981850309,30.442327043295
"34","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0646981850309,30.4439601868971
"35","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.063030850842,30.4439601868971
"36","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.061363516653,30.4439601868971
"37","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.059696182464,30.4439601868971
"38","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.058028848275,30.4439601868971
"39","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.056361514086,30.4439601868971
"40","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.054694179897,30.4439601868971
"41","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0530268457081,30.4439601868971
"42","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0513595115191,30.4439601868971
"43","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0496921773301,30.4439601868971
"44","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0646981850309,30.4455933304992
"45","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.063030850842,30.4455933304992
"46","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.061363516653,30.4455933304992
"47","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.059696182464,30.4455933304992
"48","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.058028848275,30.4455933304992
"49","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.056361514086,30.4455933304992
"50","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.054694179897,30.4455933304992
"51","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0530268457081,30.4455933304992
"52","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0513595115191,30.4455933304992
"53","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0496921773301,30.4455933304992
"54","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0646981850309,30.4472264741013
"55","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.063030850842,30.4472264741013
"56","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.061363516653,30.4472264741013
"57","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.059696182464,30.4472264741013
"58","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.058028848275,30.4472264741013
"59","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.054694179897,30.4472264741013
"60","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0530268457081,30.4472264741013
"61","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0646981850309,30.4488596177034
"62","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.063030850842,30.4488596177034
"63","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.061363516653,30.4488596177034
"64","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.059696182464,30.4488596177034
"65","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0646981850309,30.4504927613055
"66","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.063030850842,30.4504927613055
"67","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0646981850309,30.4521259049076
